strategy_id,2026-01,2026-02
KC_03,146.2288,104.888
KC_01,146.2288,104.888
KC_02,146.2288,104.888
EW_01,26.0669,91.2342
CH_02,24.4841,30.9506
ARN_01,50.6828,96.0394
ARN_03,50.6828,96.0394
ARN_02,50.6828,96.0394
CDL_08,7.8453,11.7745
DON_03,433.6116,448.5206
FI_04,14.191,25.9252
RVI_02,202.9368,231.5859
VORTEX_05,28.0334,73.6457
FISHER_03,262.4765,272.497
FISHER_05,262.4765,272.497
FISHER_01,262.4765,272.497
VTX_03,107.5871,123.374
ENV_01,48.4534,116.6053
ULT_03,156.8191,141.6075
ULT_02,156.8191,141.6075
SM_09,3.6632,2.0908
WR_02,65.5134,175.7454
SM_07,28.5229,2.1088
MACD_10,34.2903,115.8063
BB_02,39.163,77.2501
AD_03,3.2814,6.4502
TSI_05,-18.6894,130.8301
MA_08,39.6521,20.6404
WYC_06,-4.7299,11.013
