rank,strategy_id,category,classification,final_score,train_pf,val_pf,test_pf,test_sharpe,test_wr,test_trades,test_net,test_dd_pct,mc_p95_dd,mc_p99_dd,mc_prob_ruin_30,mc_stress_profitable,regime_diversity,profitable_regimes,active_regimes
1,SM_07,SM,PRODUCTION_READY,0.9582,1.6007,1.6919,21.3755,7.9966,95.0,20,41.998,0.0235,0.02,0.02,0.0,100.0,1.0,4,4
2,CDL_08,CDL,PRODUCTION_READY,0.9424,7.6155,999.0,999.0,6.0893,100.0,9,12.1434,0.003,0.0,0.0,0.0,100.0,1.0,2,2
3,AD_03,AD,PRODUCTION_READY,0.8545,3.3441,3.4503,7.6507,3.7422,87.5,8,24.9377,0.0374,0.04,0.04,0.0,100.0,1.0,1,1
4,TSI_05,TSI,PRODUCTION_READY,0.8301,1.8065,1.5222,2.7804,4.5453,92.75,69,143.6253,0.3775,0.52,0.62,0.0,100.0,0.75,3,4
5,PSAR_04,PSAR,PRODUCTION_READY,0.8175,1.8452,1.8523,1.8986,3.7375,76.85,108,191.4924,0.3705,0.54,0.63,0.0,100.0,1.0,4,4
6,ULT_03,ULT,PRODUCTION_READY,0.783,1.7428,2.099,1.8246,3.175,60.41,197,253.1849,0.4148,0.47,0.61,0.0,100.0,1.0,4,4
7,ULT_02,ULT,PRODUCTION_READY,0.783,1.7428,2.099,1.8246,3.175,60.41,197,253.1849,0.4148,0.46,0.55,0.0,100.0,1.0,4,4
8,ARN_01,ARN,PRODUCTION_READY,0.7809,1.7386,1.9654,2.3194,3.8526,55.56,126,187.0418,0.1853,0.27,0.33,0.0,100.0,0.75,3,4
9,ARN_02,ARN,PRODUCTION_READY,0.7809,1.7386,1.9654,2.3194,3.8526,55.56,126,187.0418,0.1853,0.28,0.35,0.0,100.0,0.75,3,4
10,KST_02,KST,PRODUCTION_READY,0.7632,2.173,2.0904,1.7002,2.6043,85.14,74,92.0977,0.5162,0.58,0.68,0.0,100.0,1.0,4,4
11,KST_01,KST,PRODUCTION_READY,0.7632,2.173,2.0904,1.7002,2.6043,85.14,74,92.0977,0.5162,0.58,0.71,0.0,100.0,1.0,4,4
12,CP_07,CP,PRODUCTION_READY,0.7546,2.1429,12.7825,2.1082,2.966,88.46,26,38.1172,0.1742,0.25,0.32,0.0,100.0,0.75,3,4
13,MA_08,MA,PRODUCTION_READY,0.7512,2.0477,5.3871,1.5861,2.4714,75.76,66,78.4049,0.2886,0.5,0.62,0.0,100.0,1.0,4,4
14,FISHER_05,FISHER,PRODUCTION_READY,0.7146,1.5603,1.4856,1.3614,1.8445,56.35,323,205.8078,0.7138,0.75,0.81,0.0,100.0,1.0,4,4
15,FISHER_01,FISHER,PRODUCTION_READY,0.7146,1.5603,1.4856,1.3614,1.8445,56.35,323,205.8078,0.7138,0.75,0.85,0.0,100.0,1.0,4,4
16,FISHER_03,FISHER,PRODUCTION_READY,0.7146,1.5603,1.4856,1.3614,1.8445,56.35,323,205.8078,0.7138,0.75,0.85,0.0,100.0,1.0,4,4
17,ENV_01,ENV,PRODUCTION_READY,0.714,1.8833,1.5972,1.4188,1.7922,78.82,85,83.0966,0.4689,0.77,0.96,0.0,100.0,1.0,4,4
18,DON_03,DON,PRODUCTION_READY,0.7108,1.4914,1.9711,1.3944,1.7351,44.36,266,193.1486,0.4985,0.76,0.89,0.0,100.0,1.0,4,4
19,BB_02,BB,PRODUCTION_READY,0.682,2.0515,1.2745,1.4944,2.2857,56.03,141,127.5017,0.3834,0.58,0.69,0.0,100.0,1.0,4,4
20,KC_03,KC,ACCEPTABLE,0.6742,1.3625,1.2385,1.2931,1.4917,74.23,97,42.2786,0.4504,0.47,0.56,0.0,100.0,0.5,2,4
21,KC_01,KC,ACCEPTABLE,0.6742,1.3625,1.2385,1.2931,1.4917,74.23,97,42.2786,0.4504,0.47,0.54,0.0,100.0,0.5,2,4
22,KC_02,KC,ACCEPTABLE,0.6742,1.3625,1.2385,1.2931,1.4917,74.23,97,42.2786,0.4504,0.47,0.56,0.0,100.0,0.5,2,4
23,MS_07,MS,ACCEPTABLE,0.6211,2.5766,4.4551,1.1778,0.6338,80.0,35,12.9302,0.2638,0.5,0.57,0.0,100.0,0.75,3,4
24,SM_09,SM,PRODUCTION_READY,0.612,5.5216,7.3165,2.3904,1.8449,87.5,8,7.2114,0.0518,0.05,0.05,0.0,100.0,0.5,1,2
25,REG_05,REG,ACCEPTABLE,0.5881,2.6037,1.3439,1.2916,1.4162,75.0,60,38.7444,0.3932,0.59,0.7,0.0,100.0,0.5,2,4
26,OBV_02,OBV,ACCEPTABLE,0.5713,2.1721,2.3405,1.0972,0.482,72.09,43,11.4779,0.2748,0.61,0.73,0.0,100.0,0.25,1,4
